DeveloperName,RERA_Number,ProjectName,ConstructionStatus,PropertyType,Location,PossessionDate,IsGatedCommunity,TotalUnits,AreaSizeAcres,Configurations,MinSizeSqft,MaxSizeSqft,PricePerSqft,PricePerSqftOTP,Longitude/Latitude,ProjectDocumentsLink,Source,BuilderContactInfo,ListingType,LoanApprovedBanks,NearbyLocations,RemarksComments,Amenities,FAQ,Commission,CPOnboardStatus,CPOnboardStatusComments,POCNumber,AvailabilityWithSS,No.of parkings for respective configurations,Open Space (x%),Grand Entrance lobby for each block (Yes/No),"Faces (East, West, North)",Smart home features (Yes/No),Gas connection type (Central/Individual),Construction material (Concrete/Brick type),Ground Vehicle Movement (Yes/No/Partial)
My Home Krishe,P02400000003,My Home Krishe,RTM,Apartment,"Nanakram Guda, Financial District, Gachibowli, Hyderabad, Telangana",,TRUE,650,6.7,"2BHK, 3BHK",1275,2780,7555,,"17.432443, 78.329092",https://drive.google.com/file/d/1v1k3GfTH3FbkoT-_aA2iSLcclYVZIddU/view?usp=drive_link,"Housing , Square Yards",040- 66888888,,,,"My Home Krishe offers modern residential apartments with a range of amenities, providing a comfortable living experience in Hyderabad’s Financial District.","• Infrastructure:-
• Central landscaped areas
• Swimming pool
• Jogging track
• Kids’ outdoor play areas
• Outdoor basketball/tennis court
• Multi-purpose hall
• ATM
• Indoor badminton court
• Food court
• Grocery store
• Crèche
• Pharmacy & health center
• Spa & salon ","• Is My Home Krishe RERA registered?
• Yes, with RERA ID P02400000003. 
• What are the available apartment sizes?
• 2 BHK apartments: 1275 sq.ft.
• 3 BHK apartments: Ranging from 1740 sq.ft. to 2780 sq.ft.
• What is the total project area?
• 6.7 acres. 
• What is the possession date?
• The project is ready to occupy.",,,,,,,,,,,,,
Asrithas Jewels County,P01100002614,Asritha’s Jewels County,UC,Apartment,"Krishnareddypet, Beeramguda, near ORR Exit 4, Patancheru, Hyderabad, Telangana, India.",,TRUE,792,5.65,"2BHK, 3BHK",1164,2107,5000,,"17.553046, 78.284136",https://drive.google.com/file/d/1WYXHFZsY0nj9CKmanYAabmBDKPAv9UGs/view?usp=drive_link,Housing,7337336695,,,,"Asritha’s Jewels County offers luxurious living with a plethora of amenities in a strategic location near ORR Exit 4, providing easy connectivity to major parts of Hyderabad.","• Infrastructure:-
• Four towers with 12 floors each
• 75% open space area 
• Covered parking 
• Amenities:-
• Over 60 luxury amenities, including a gym, swimming pool, multipurpose hall, children’s play area, and landscaped gardens ","• Is Asritha’s Jewels County RERA registered?
• Yes, with RERA ID P01100002614. 
• What are the available apartment sizes?
• 2 BHK: 1164 to 1325 sq.ft.
• 3 BHK: 1410 to 2107 sq.ft. 
• What is the total project area?
• 5.65 acres. 
• What is the possession date?
• Possession is scheduled as follows:-
• D Block: December 2025
• C Block: August 2026
• A & B Blocks: December 2026 ",,,,,,,,,,,,,
Ramky Golden Circle,P02400002201,Ramky Golden Circle,UC,Apartment,"Saraswathi Guda Road, Srisailam Highway, Tukkuguda, Hyderabad, Telangana, 501359, India. ",,TRUE,247,4.11,"1BHK, 2BHK, 3BHK",840,2290,5400,,"17.180185, 78.480940",https://drive.google.com/file/d/1IX6_SAc1QmEYrYKvsMDGwIROdaVNPuKc/view?usp=drive_link,"Housing , Square Yards",9582168888,,,,,"• Infrastructure:-
• The project comprises multiple towers with 5 floors each.
• 75% open space area. 
• Amenities:
• Lift
• Gymnasium
• Power Backup
• Tennis Court
• Badminton Court
• Amphitheater
• Billiards
• Carrom Board
• CCTV Cameras
• Chess
• Club House
• Convenience Store
• Covered Car Parking
• Indoor Games
• Jogging Track
• Landscaped Garden
• Multi-Purpose Play Court
• Multipurpose Games Court
• Party Area
• Play Area
• Rain Water Harvesting
• Sand Pit
• Security Personnel
• Table Tennis
• Tennis Court","• Is Ramky Golden Circle RERA registered?
• Yes, with RERA ID P02400002201.
• What are the available apartment sizes?
• 1 BHK: 840 - 1215 sq.ft.
• 2 BHK: 1360 - 1560 sq.ft.
• 3 BHK: 1525 - 2290 sq.ft. ",,,,,,,,,,,,,
DSR Builders & Developers,P02400002277,W By DSR,UC,Apartment,"Survey No.196, Kondapur, Hyderabad, Telangana, India.",,,88,1.82,4BHK,5999,5999,11500,,"17.470078, 78.357855",https://drive.google.com/file/d/1FMv5fytwOneoB4RndBmcNYdfH5PFeH-D/view?usp=drive_link,"Square Yards , Housing",9057957990,,,,"W By DSR offers ultra-luxury living with expansive 4 BHK apartments, modern amenities, and contemporary interiors, making it a hallmark of luxury in Hyderabad.","• Infrastructure:-
• Single tower with 27 floors
• Two apartments per floor
• Each apartment spans 5,999 sq.ft.","• Is W By DSR RERA registered?
• Yes, with RERA ID P02400002277.
• What is the size of the apartments?
• Each 4 BHK apartment is 5,999 sq.ft.
• What is the total project area?
• 1.82 acres with 45% open space. ",,,,,,,,,,,,,
Candeur 40,P02400002183,Candeur 40,UC,Apartment,"Near Bollaram Road, Sri Rangapuram Colony, Miyapur, Hyderabad, Telangana, India. ",,TRUE,959,4.8,"2BHK, 3BHK",1142,1610,9400,,"17.504737, 78.362342",https://drive.google.com/file/d/19GKZMo5Hi6kttY4pbPbEJsjohZFRYAcz/view?usp=drive_link,"Square Yards , Housing",9121364040,,,,"Candeur 40 offers luxurious high-rise living with modern amenities and expansive green spaces, making it a prime residential choice in Miyapur, Hyderabad.","• Infrastructure:-
• Three towers with 40 floors each.
• 75% open space.
• Configurations include 2 BHK, 2.5 BHK, and 3 BHK apartments.","• Is Candeur 40 RERA registered?
• Yes, with RERA ID P02400002183.
• What are the available apartment sizes?
• 2 BHK: 1,142 - 1,168 sq.ft.
• 3 BHK: 1,537 - 1,610 sq.ft.
• What is the total project area?
• 4.8 acres with 75% open space.
• What is the possession date?
• Possession is scheduled for May 2024. ",,,,,,,,,,,,,
APR Mukka Praveens Signator,P02200001338,Mukka Praveen’s Signator,RTM,Apartment,"SMNR Garden Road, Bachupally, Hyderabad, Telangana, India.",,TRUE,148,9,4BHK,2165,2985,11550,,"17.554587, 78.371898",https://drive.google.com/file/d/1j75JtqV9v0qCZ_Zq8e3pGBjaoXIJPw5B/view?usp=drive_link,Housing,,,,,"Mukka Praveen’s Signator offers luxurious 4 BHK duplex villas with modern amenities and well-planned infrastructure, making it a prime residential choice in Bachupally, Hyderabad.","• Infrastructure:-
• Villas with Ground + 1 floor configuration.
• Built-up areas ranging from 2,165 to 2,985 sq.ft.","• Is Mukka Praveen’s Signator RERA registered?
• Yes, with RERA ID P02200001338.
• What are the available villa sizes?
• 4 BHK villas with built-up areas ranging from 2,165 to 2,985 sq.ft.
• What is the total project area?
• 9 acres with 30% open space.
• What is the possession date?
• The project is ready to move as of March 2022.",,,,,,,,,,,,,
Anuhar Rami Reddy Towers,P02400000820,Anuhar Rami Reddy Towers,RTM,Apartment,"Alkapur Township, Manikonda, Hyderabad, Telangana, India.",,TRUE,370,4,"2BHK, 3BHK",1280,2810,7500,,"17.395458, 78.368814",https://drive.google.com/file/d/1KJu8wkQi2uh2lFll42xN-1mFqQDye_7_/view?usp=drive_link,"Square Yards , Housing",9100002123,,,,"Anuhar Rami Reddy Towers offers luxurious 2 and 3 BHK apartments with modern amenities and a serene environment, making it a prime residential choice in Alkapur Township, Hyderabad.","• Infrastructure:-
• Four towers with Cellar + Ground + 10 Floors structure. 
• Total of 370 units.","• Is Anuhar Rami Reddy Towers RERA registered?
• Yes, with RERA ID P02400000820.
• What are the available apartment sizes?
• 2 BHK: 1,284 - 1,447 sq.ft.
• 3 BHK: 1,616 - 2,810 sq.ft.
• What is the total project area?
• 4 acres with 62% open space.
• What is the possession date?
• Possession started in December 2023. ",,,,,,,,,,,,,
Risinia Skyon,P02200003596,Risinia Skyon Extension,UC,Apartment,"Bachupally, Hyderabad, Telangana, India.",,TRUE,756,5.63,"2BHK, 3BHK",922,2224,6500,,"17.545069, 78.373827",https://drive.google.com/file/d/1XgnhLFRnTyceqN3r3E0658BLWiEG0mU0/view?usp=drive_link,"Housing , Square Yards",9100888804,,,,"Risinia Skyon Extension offers 2 and 3 BHK apartments with modern amenities in Bachupally, Hyderabad.","• Infrastructure:-
• The project comprises multiple towers with a maximum of 13 floors. ","• Is Risinia Skyon Extension RERA registered?
• Yes, with RERA ID P02200003596.
• What are the available apartment sizes?
• 2 BHK: 922 - 1,389 sq.ft.
• 3 BHK: 1,421 - 2,224 sq.ft.
• What is the total project area?
• 5.63 acres.
• What is the possession date?
• Possession is expected by August 2025.",,,,,,,,,,,,,
Vasavi Urban,P02200002275,Vasavi Urban,UC,Apartment,"Bachupally, Hyderabad, Telangana, India. ",,TRUE,3714,17.86,2BHK,875,975,6340,,"17.542036, 78.385390",https://drive.google.com/file/d/13yCKdduBAG22LLT36Bz0WoNkFJTcZHE3/view?usp=drive_link,"Housing , Square Yards",9019100099,,,,"Vasavi Urban offers modern 2 BHK apartments with a wide range of amenities, making it a prime residential choice in Bachupally, Hyderabad.","• Infrastructure:-
• The project comprises 12 towers with 23 floors each. ","• Is Vasavi Urban RERA registered?
• Yes, with RERA ID P02200002275. 
• What are the available apartment sizes?
• 2 BHK: 875 - 975 sq.ft. 
• What is the total project area?
• 17.86 acres with 70% open space. 
• What is the possession date?
• Possession is expected by August 2025.",,,,,,,,,,,,,
Vasavi Lakecity West,P02500001819,Vasavi Lake City,UC,Apartment,"Hafeezpet, Hyderabad, Telangana, India. ",,TRUE,1845,17.5,"2BHK, 3BHK",1190,2240,7299,,"17.486007, 78.352674",https://drive.google.com/file/d/12xujvmp0pOaxtZwwNxaEpQUq-y4ZbAZU/view?usp=drive_link,"Square Yards , Housing",8233339999,,,,"Vasavi Lake City offers modern 2 and 3 BHK apartments with a wide range of amenities, making it a prime residential choice in Hafeezpet, Hyderabad.","• Infrastructure:-
• The project comprises 13 towers with 14 floors each. ","• Is Vasavi Lake City RERA registered?
• Yes, with RERA IDs P02500001819 (West Wing) and P02500001821 (East Wing). 
• What are the available apartment sizes?
• 2 BHK: 1,250 - 1,350 sq.ft.
• 3 BHK: 1,500 - 2,086 sq.ft. 
• What is the total project area?
• 17.5 acres with 70% open space. 
• What is the possession date?
• Possession is expected by February 2025. ",,,,,,,,,,,,,
Vasavi Lakecity East,P02500001821,Vasavi Lake City East,UC,Apartment,"Manjeera Pipeline Rd, APGOs Coop HSG Society, Hafeezpet, Hyderabad, Telangana 500050",,TRUE,840,3.34,"2BHK, 3BHK",1065,2251,7400,,"17.485852, 78.352678",https://drive.google.com/file/d/12xujvmp0pOaxtZwwNxaEpQUq-y4ZbAZU/view?usp=drive_link,Housing,8233339999,,,,"Vasavi Lake City offers modern 2 and 3 BHK apartments with a wide range of amenities, making it a prime residential choice in Hafeezpet, Hyderabad.","Amenities:-
• Clubhouse (50,000 sq.ft.)
• Swimming Pool
• Gymnasium
• Indoor Badminton Court
• Tennis Courts
• Cricket Practice Pitch
• Basketball Court
• Yoga Decks
• Table Tennis
• Jogging Track
• Party Hall
• Amphitheatre
• Spa
• Landscaped Gardens","• Is Vasavi Lake City RERA registered?
• Yes, with RERA IDs P02500001821",,,,,,,,,,,,,
Vasavi Lake City,"P02500001821,P02500001819","Vasavi Lake City, Vasavi Lake City East",UC,Apartment,"Hafeezpet, Hyderabad, Telangana, India. ",,TRUE,1845,17.5,"2BHK, 3BHK",1190,2240,7299,,"17.485866, 78.352670",https://drive.google.com/file/d/12xujvmp0pOaxtZwwNxaEpQUq-y4ZbAZU/view?usp=drive_link,"Square Yards , Housing",8233339999,,,,"Vasavi Lake City offers modern 2 and 3 BHK apartments with a wide range of amenities, making it a prime residential choice in Hafeezpet, Hyderabad.",,"• Is Vasavi Lake City RERA registered?
• Yes, with RERA IDs P02500001819 (West Wing) and P02500001821 (East Wing). 
• What are the available apartment sizes?
• 2 BHK: 1,250 - 1,350 sq.ft.
• 3 BHK: 1,500 - 2,086 sq.ft. 
• What is the total project area?
• 17.5 acres with 70% open space. 
• What is the possession date?
• Possession is expected by February 2025. ",,,,,,,,,,,,,
Vasavi Signature,P02200000209,Vasavi Signature,RTM,Apartment,"Hitech, KPHB Road, Opp. Forum Mall, Hyderabad","Nov, 2023",TRUE,164,2.73,3BHK,1750,3205,8500,,"17.483470414024367, 78.39004515253444",https://drive.google.com/file/d/1tS3J4LupAQDEADFR9fqA9d5vxkKjNYP3/view?usp=drive_link,Square Yards,9515279999,,,,,"  Amenities:-
  24X7 Water Supply
   Multipurpose Room
   Jogging Track
   Senior Citizen Siteout
   Gated Community
   Indoor Games
   Spa
   Sauna Bath
   Garbage Disposal
    Swimming Pool
    Landscaping & Tree Planting
    Gymnasium
    Fire Fighting System
     Closed Car Parking



   


 
","• Is Vasavi Signature RERA registered?
• Yes, with RERA IDs P02200000209.
• What are the available apartment sizes?
• 3 BHK: 1750sqft-2300sqft.
• 3.5  BHK: 13205sqft.
• What is the total project area?
•  2.73 Acres.
• What is the possession date?
• Possession is expected by Nov, 2023.",,,,,,,,,,,,,
Vasavi Sri Nilayam,P02500000026,Vasavi Sri Nilayam,RTM,Apartment,LB Nagar,"Apr, 2024",TRUE,773,11,"2BHK, 3BHK",1143,2165,9480,,"17.33640662960061, 78.55692470967767",https://drive.google.com/file/d/1Hz9uHImU9CAMnCoj4AbIJYBr_bh_B8i3/view?usp=drive_link,"Builder Site , Square Yards",90191 00099,,,,,"  Amenities:-
  Cricket Pitch
  Skating Rink
  Medical Store/Pharmacy
  Car Parking
  24X7 Water Supply
  Concierge Service
  Multipurpose Room
  Senior Citizen Siteout
  Street Lighting
  Indoor Games
  Cycling & Jogging Track
  Piped Gas Connection
","• Is Vasavi Sri Nilayam RERA registered?
• Yes, with RERA IDs P02500000026.
• What are the available apartment sizes?
• 2 BHK: 1143sqft -1198sqft.
• 3 BHK: 1405sqft -1580sqft.
• What is the total project area?
•  11 Acres.
• What is the possession date?
• Possession is expected by Apr, 2024.",,,,,,,,,,,,,
Nebula Aavaas,P02200000223,Pacifica Nebula Aavaas,RTM,Apartment,"Bachupally, Quthbullapur, Manda, Miyapur, North Hyderabad, Hyderabad","Dec, 2019",TRUE,2700,9,"1BHK, 2BHK",565,1214,,,"17.522173, 78.356277",https://drive.google.com/file/d/1awJQM8Z8ZZTTd0jMwxZ1pJS6kQ__4Gz8/view?usp=drive_link,Housing,72279 04565,,,,,"  Amenities:-
Swimming Pool
Landscaping & Tree Planting
Fire Fighting System
Gymnasium
Car Parking
24X7 Water Supply
Jogging Track
Senior Citizen Siteout
Gated Community
Indoor Games
+","• Is Nebula Aavaas RERA registered?
• Yes, with RERA ID P02200000223.
• What are the available apartment sizes?
• 1 BHK: 565sqft -607sqft.
• 2 BHK: 861sqft.
• What is the total project area?
•  9 Acres (70% open).
• What is the possession date?
• Possession is expected byDec, 2019 .",,,,,,,,,,,,,
Gowra Urban Winds,P02400001121,Gowra Urban Winds,RTM,Apartment,"Survey No 141, Kismatpur, West Hyderabad, Hyderabad","Dec, 2019",TRUE,103,1.3,"3BHK , 4BHK",1340,1775,6500,,"17.335144, 78.377705",https://drive.google.com/file/d/1_KptnoqVZ5e8rBG5lZq0jKcnyvvTc-Wq/view?usp=drive_link,"Builder Site , Housing",8048163330,,,,,"Floor & Counter:-
Living/Dining - Vitrified Tiles
Master Bedroom - Vitrified Tiles
Other Bedroom - Vitrify Tiles
Kitchen - Vitrified Tiles
Toilets - Vitrified Tiles

Fitting:-
Electrical - Concealed copper wiring
Toilets - Branded Sanitary Fittings
Kitchen - C. P. Fittings.
Doors - Laminated Flush Door
Windows - Aluminium Sliding Windows","• Is Gowra Urban Winds RERA registered?
• Yes, with RERA ID P02400001121
• What is the total project area?
•  1.3 Acres",,,,,,,,,,,,,
Sri Sai Constructions,P02200001394,Sri Sai Icon Marigold block c,RTM,Apartment,"Pragathi Nagar Kukatpally, North Hyderabad,",,TRUE,15,0.18,3BHK,1615,1615,,,"17.525056, 78.400574",,Housing,not found,,,,,"Amenities:-
Children's Play Area
Car Parking
24X7 Water Supply
Vastu Compliant
Lift(s)
24x7 Security
Power Backup
Fire Fighting System
Club House","• Is Sri Sai Icon Marigold RERA registered?
• Yes, with RERA IDP02200001394
• What is the total project area?
• Approximately0.45 Acres
• What is the possession date?
• Possession is expected byReady to Move",,,,,,,,,,,,,
Rajapushpa Properties Pvt Ltd,P02400000015,Rajapushpa Eterna,RTM,Apartment,"Financial District, Near Nanakramguda, West Hyderabad, Hyderabad 4.3 Write a Review","Dec, 2021",FALSE,290,4.6,"3BHK, 4BHK",2360,4340,,,"17.414531, 78.343498",https://drive.google.com/file/d/1rwa5L8TeEDmidkUQ46_YWt3DfO-8OZfm/view?usp=drive_link,"Housing , 99Acres",not found,,,,,"Amenities:-
• Spa
• Fountains
• Fire Sprinklers
• Table Tennis
• Mini Theatre
• Car Parking
• 24X7 Water Supply
• Multipurpose Room
• Senior Citizen Siteout
• Street Lighting
• Pergola","• Is Rajapushpa Eterna RERA registered?
• Yes, with RERA ID  P02400000015
• What is the total project area?
•  5 Acre
• What is the possession date?
• Possession is expected by Dec 2021",,,,,,,,,,,,,
Modi Properties Pvt Ltd,P02200001122,Modi Morning Glory Apartments,RTM,Apartment,"Turkapally, Hyderabad","Jun 1, 2025",TRUE,30,0.23,2BHK,640,1280,3250,,"17.670662223896933, 78.58725138623271",https://drive.google.com/file/d/1PXCez-ExqJ61vaHn7vzu-_rquafMD1Kz/view?usp=drive_link,Square Yards,not found,,,,,"Amenities:-
Gymnasium
Swimming Pool
Badminton Court(s)
Tennis Court(s)
Kids' Play Areas / Sand Pits
Basketball
Yoga Areas
Jogging / Cycle Track
Table Tennis
Snooker/Pool/Billiards","• Is Modi Morning Glory RERA registered?
• Yes, with RERA ID  P02200001122
• What are the available apartment sizes?
• 2 BHK: 640sqft
• What is the total project area?
•  0.23acres",,,,,,,,,,,,,
Thirumala Constructions Developers,P02200001131,Thirumala Haasini Enclave,RTM,Apartment,"Uppal, Hyderabad",1/1/2025,TRUE,20,0.15,"1BHK, 2BHK",420,768,4400,,"17.415130, 78.565411",,Square Yards,not found,,,,,"Amenities:-
• Car Parking
• Kids' Play Areas / Sand Pit
• 24X7 Water Supply
• 24x7 CCTV Surveillance
• Normal Park / Central Green","• Is Vasavi Lake City RERA registered?
• Yes, with RERA ID  P02200001131
• What are the available apartment sizes?
• 1 BHK: 420 sq.ft
• 2 BHK: 768 sq.ft
• What is the total project area?
•  0.15acres
• What is the possession date?
• Possession is expected by Jan, 2025",,,,,,,,,,,,,
Modi Properties Pvt Ltd,P02200001314,Modi Greenwood Heights,UC,Apartment,"Yapral, Secunderabad",9/1/2025,TRUE,115,2,3BHK,1220,1945,5500,,"17.520985380907536, 78.54313773904366",https://drive.google.com/file/d/1-DXqZunFWiyoVdIu7PtysGDU9PdI5E7k/view?usp=drive_link,Square Yards,not found,,,,,"Amenities:-
• Gymnasium
• Swimming Pool
• Badminton Court(s)
• Tennis Court(s)
• Kids' Play Areas / Sand Pits
• Basketball
• Yoga Areas
• Jogging / Cycle Track
• Table Tennis
• Snooker/Pool/Billiards","• Is Modi Greenwood Heights RERA registered?
• Yes, with RERA ID  P02200001314
• What is the total project area?
•  2acres",,,,,,,,,,,,,
MPM Ventures Private Limited,P02500000769,MPM SS Pinnacle,UC,Apartment,"Opp South India Shopping Beside Vasavi MPM Grand Mall, Ameerpet, Hyderabad",Jul 23,TRUE,72,2.65,"2BHK, 3BHK",1206,1530,8000,,"17.434722, 78.444371",https://drive.google.com/file/d/1GfpQisN8WJ2HszwYlLJmvhlDM-0aB7FX/view?usp=drive_link,Housing,not found,,,,,"Amenities:-
• Cricket Pitch
• Internet / Wi-Fi
• Vastu Compliant
• Fire Sprinklers
• Landscaping & Tree Planting
• Water Conservation, Rain water Harvesting
• Gymnasium
• Fire Fighting System
• Closed Car Parking
• Car Parking
• 24X7 Water Supply","• Is MPM SS Pinnacle RERA registered?
• Yes, with RERA ID  P02500000769
• What is the total project area?
•  2.65 acres",,,,,,,,,,,,,
Gowra Estates Private Limited,P02400001121,Gowra Urban Winds,RTM,Apartment,"Survey No 141, Kismatpur, West Hyderabad, Hyderabad",,TRUE,103,1.3,"3BHK, 4BHK",1340,1775,6100,,"17.335338219514217, 78.37769409485813",https://drive.google.com/file/d/1Kqr6GeWYoN_WR8WRJcuOfguXmYoDv5NX/view?usp=drive_link,"Builder Site , Square Yards",7981504569,,,,,"Amenities:-
• Gymnasium
• Swimming Pool
• Tennis Court(s)
• Football
• Cricket
• Kids' Play Areas / Sand Pits
• Basketball
• Volleyball
• Yoga Areas
• Jogging / Cycle Track
• Snooker/Pool/Billiards","• Is Gowra Urban Winds RERA registered?
• Yes, with RERA ID P02400001121
• What are the available apartment sizes?
• What is the total project area?
•  1.3 acres",,,,,,,,,,,,,
Anuhar Homes,P02400000239,Anuhar Sunny Side,RTM,Apartment,"Manikonda, Hyderabad",2/1/2020,TRUE,20,0.31,3BHK,,1967,,,"17.394732, 78.367029",https://drive.google.com/file/d/1MzzmlFF5zM-ZcxXVbGahp7ETlUoBRRW6/view?usp=drive_link,Square Yards,notfound,,,,,"Amenities:-
• Car Parking
• 24X7 Water Supply
• Lift","• Is Anuhar Sunny Side RERA registered?
• Yes, with RERA IDP02400000239 
• What is the total project area?
•  0.31 acres",,,,,,,,,,,,,
Anuhar Homes Pvt Ltd,P02400000820,Rami Reddy Tower,RTM,Apartment,"Alkapur Township, Hyderabad","Dec, 2023",TRUE,370,4,"2BHK, 3BHK",1280,2810,7500,,"17.395458, 78.368814",https://drive.google.com/file/d/1KJu8wkQi2uh2lFll42xN-1mFqQDye_7_/view?usp=drive_link,"Housing.com , Square Yards",notfound,,,,"Anuhar Rami Reddy Towers offers luxurious 2 and 3 BHK apartments with modern amenities and a serene environment, making it a prime residential choice in Alkapur Township, Hyderabad.","• Infrastructure:-
• Four towers with Cellar + Ground + 10 Floors structure. 
• Total of 370 units.","• Is Anuhar Rami Reddy Towers RERA registered?
• Yes, with RERA ID P02400000820.
• What are the available apartment sizes?
• 2 BHK: 1,284 - 1,447 sq.ft.
• 3 BHK: 1,616 - 2,810 sq.ft.
• What is the total project area?
• 4 acres with 62% open space.
• What is the possession date?
• Possession started in December 2023.",,,,,,,,,,,,,
Ramky Estates & Farms Ltd,P02400000023,Ramky The Huddle,RTM,Villa,"Exit No 14 , Srisailam Highway, Thukkuguda Jn.",10/1/2023,TRUE,125,9.98,"3BHK, 4BHK",2038,3870,9568,,"17.178522, 78.481243",https://drive.google.com/file/d/1Mw4MtT-1X4uB4w65yBO6q6lcNM62FV7q/view?usp=drive_link,"Builder Site , Square Yards",9177555000,,,,,"• Amenities:-
• Gymnasium
• Swimming Pool
• Badminton Court(s)
• Tennis Court(s)
• Kids' Play Areas / Sand Pits
• Basketball
• Yoga Areas
• Jogging / Cycle Track
• Table Tennis
• Snooker/Pool/Billiards","• Is Ramky Discovery City RERA registered?
• Yes, with RERA IDP02400000023
• What are the available apartment ?
• 3 BHK
• 4 BHK
• What is the total project area?
•  9.98acres",,,,,,,,,,,,,
Ramky Estates & Farms Ltd,P02400000009,Ramky Greenview Apartments,RTM,Apartment,"At Ramky Discovery City, Near Hyderabad International Airport, ORR Exit No. 14, Srisailam Road, Maheshwaram, South Hyderabad, Hyderabad",3/1/2022,TRUE,200,4,"2BHK, 3BHK",980,2060,4500,,"17.17739978422628, 78.47982425067342",https://drive.google.com/file/d/10zYwJmHMoG7Zq6AJLL9l6-ArWVJfP0i7/view?usp=drive_link,"Builder Site , Housing",9582168888,,,,,"Amenities:-
• Tennis Court
• Solar Lighting
• Spa
• Swimming Pool
• Landscaping & Tree Planting
• Water Conservation, Rain water Harvesting
• Table Tennis
• Gymnasium
• Medical Store/Pharmacy
• Community Buildings
• Car Parking","• Is Ramky Greenview Apartments RERA registered?
• Yes, with RERA IDP02400000009
• What is the total project area?
• 4 acres",,,,,,,,,,,,,
APR Group,P01100000280,APR Praveens Luxuria,RTM,Villa,"Beeramguda, Near Patancheru, West Hyderabad, Hyderabad",,TRUE,550,36,3BHK,1630,2545,5500,,"17.544730, 78.268412",https://drive.google.com/file/d/16urU3eSPXoYSa6I0_GYE7vNnpJaqLBoD/view?usp=drive_link,Housing.com,not found,,,,,"Amenities:-
• Cricket Pitch
• Table Tennis
• Electrification(Transformer, Solar Energy etc)
• 24X7 Water Supply
• Multipurpose Room
• Senior Citizen Siteout
• Street Lighting
• Indoor Games
• Pergola
• Shopping Mall
• Hospital","• Is APR Praveens Luxuria RERA registered?
• Yes, with RERA IDP01100000280
• What is the total project area?
• 36 acres",,,,,,,,,,,,,
ShantaSriram Constructions Pvt Ltd,P02400000143,Shanta Sriram Brook woods,UC,Villa,"Kismatpur, Hyderabad","Dec, 2027",TRUE,56,6,"3BHK, 4BHK",3152,5745,13560,,"17.335167, 78.374821",https://drive.google.com/file/d/11cmptYQZrtbCjboNqqoT38mLT2Aq99-b/view?usp=drive_link,Housing,not found,,,,,"Amenities:-
• Spa
• Garbage Disposal
• Swimming Pool
• Vastu Compliant
• Landscaping & Tree Planting
• Water Conservation, Rain water Harvesting
• Gymnasium
• Fire Fighting System
• Community Buildings
• Car Parking
• 24X7 Water Supply","• Is Shantasriram Brookwoods RERA registered?
• Yes, with RERA IDP02400000143
• What is the total project area?
• 6 acres.",,,,,,,,,,,,,
Alekhya Homes,P02400000823,Alekhya Bamboo Grove,UC,Apartment,"Hafeezpet, Hyderabad","Mar, 2025",TRUE,139,1,"2BHK, 3BHK",1135,1615,5705,,"17.483560014284215, 78.3533392408951",https://drive.google.com/file/d/1UGP8E-kT9O-FM2d6SRb2RmMXPizRq7sM/view?usp=drive_link,Square Yards,not found,,,,,"Amenities:-
• Children's Play Area
• Lift(s)
• Landscaping & Tree Planting
• Water Conservation, Rain water Harvesting
• 24x7 CCTV Surveillance
• RO Water System
• Gymnasium
• Fire Fighting System
• Car Parking
• 24X7 Water Supply
• Multipurpose Room","• Is Alekhya Bamboo Grove RERA registered?
• Yes, with RERA IDP02400000823
• What are the available apartment?
• 2 BHK
• 3 BHK
• What is the total project area?
• 1 acres",,,,,,,,,,,,,
Pacifica Builders Pvt Ltd,P02500000189,Pacifica Hill Crest,UC,Apartment,"Gachibowli, Hyderabad","Dec, 2027",TRUE,684,6,"2BHK, 3BHK, 4BHK",797,1699,11398,,"17.406968758990526, 78.33919214248296",https://drive.google.com/file/d/1-syx7Y67zaDStl8GPImeVd4XdXVBQRbV/view?usp=drive_link,"Housing , Square Yards",9533975975,,,,,"The project features 5 residential towers, each with 19 floors, offering amenities such as a cricket pitch for net practice, multipurpose courts, jogging track, kids play area, amphitheater, garden/park area, library, and gymnasium.","• Is Pacifica Hillcrest RERA registered? Yes, Phase 1 is registered with RERA ID P02500000189. 
• What are the available apartment sizes? Sizes range from 787 sq.ft. to 2,644 sq.ft. 
• What is the total area of the project? The project spans 12 acres.",,,,,,,,,,,,,
Sri Sai Hari Hara Estates Pvt Ltd,P02200000182,Sri Sai Soukya,RTM,Apartment,"Uppal, Hyderabad",,TRUE,185,3,"2BHK, 3BHK",1226,2053,7290,,"17.399993, 78.589026",https://drive.google.com/file/d/1nyhYcwI54cOw9uIbzOf1jsBnhTR15rup/view?usp=drive_link,"Builder Site , Housing",9066832832,,,,,"• Amenities:-                        
• Swimming Pool
• Skating Rink
• Vastu Compliant
• Landscaping & Tree Planting
• Water Conservation, Rain water Harvesting
• Gymnasium
• Fire Fighting System
• Community Buildings
• Closed Car Parking
• Car Parking
• 24X7 Water Supply","• Is Sri Sai Soukya RERA registered?
• Yes, with RERA IDP02200000182  
• What is the total project area?
•  3 Acre",,,,,,,,,,,,,
